playlist_name,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,popularity,speechiness,tempo,valence,explicit,mode,followers,num_tracks,track_feat,track_remast,track_remix,album_feat,album_deluxe,album_best,time_sign_0.0,time_sign_3.0,time_sign_4.0,key_0.0,key_1.0,key_2.0,key_3.0,key_4.0,key_5.0,key_6.0,key_7.0,key_8.0,key_9.0,key_10.0,key_11.0
2003,0.19367984000000005,0.6735199999999999,251759.84,0.67118,0.012667200200000001,0.18194800000000005,-5.754480000000001,46.18,0.16685399999999997,112.95628,0.590946,0,1.0,756,50,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2004,0.18208032,0.691,237680.78,0.6845800000000001,0.001216205,0.15692000000000003,-5.947320000000001,44.68,0.13971199999999995,114.88641999999996,0.616924,0,1.0,4203,50,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
2006,0.12248059999999997,0.6839400000000003,233630.04,0.6897199999999997,0.0012863829999999999,0.18151,-5.645600000000001,43.96,0.13112200000000002,118.39627999999999,0.5636199999999999,0,1.0,781,50,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2007,0.14367088000000006,0.6655000000000001,247754.88,0.7164,0.015649013599999997,0.19566999999999996,-5.653440000000001,41.26,0.12625399999999995,125.82055999999994,0.6075400000000001,0,1.0,6439,50,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2008,0.099559578,0.6628400000000001,237010.22,0.71734,0.00039707180000000004,0.19343200000000002,-5.36546,39.46,0.08819199999999996,123.56024000000004,0.5368320000000001,0,1.0,824,50,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2009,0.079744678,0.6497600000000001,237573.94,0.7219599999999999,0.010055942200000003,0.197332,-4.974819999999999,40.3,0.09369599999999999,125.77282,0.5090599999999997,0,1.0,5348,50,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2010,0.09114416,0.65158,230638.58,0.7645200000000001,0.001399605,0.19693400000000008,-4.7090000000000005,54.98,0.107462,120.89014000000003,0.589138,0,1.0,12136,50,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2011,0.11693918000000002,0.6624200000000002,236698.8,0.7452999999999999,0.0026151226,0.20522400000000005,-5.141940000000002,59.34,0.09948,125.72823999999999,0.56316,0,1.0,5001,50,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2012,0.09045470000000005,0.6691400000000002,226988.74,0.7385600000000001,0.018726646200000002,0.18993000000000002,-5.079579999999999,57.22,0.09531200000000001,127.17088000000004,0.56168,0,1.0,34866,50,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2017 Mnet Asian Music Awards (MAMA),0.2844755230769231,0.6201846153846158,215542.84615384616,0.7177692307692306,1.0580307692307692e-05,0.16109692307692317,-4.153292307692309,54.261538461538464,0.09751846153846155,115.56403076923077,0.5325230769230768,0,1.0,37727,65,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
